sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_30,26.937848,0.937461,0.058175
00032_longshort_flying_eagle_330,26.867475,0.942956,0.056662
00032_shortlong_hips_30,27.748590,0.948701,0.042794
00032_shortlong_hips_330,29.248679,0.957393,0.033425
00032_shortshort_punching_30,27.373771,0.946277,0.050764
00032_shortshort_punching_330,27.841267,0.947894,0.051066
00096_jerseyshort_chicken_wings_30,28.404278,0.958283,0.039119
00096_jerseyshort_chicken_wings_330,29.265923,0.961436,0.038566
00096_jerseyshort_shoulders_mill_30,28.526513,0.958546,0.037801
00096_jerseyshort_shoulders_mill_330,27.940399,0.952941,0.046270
00096_longshort_ballerina_spin_30,27.851122,0.950874,0.043527
00096_longshort_ballerina_spin_330,27.854821,0.946692,0.049992
00096_shirtlong_basketball_30,27.735632,0.944657,0.048020
00096_shirtlong_basketball_330,28.627250,0.951689,0.042280
00096_shirtlong_punching_30,27.187126,0.945391,0.049610
00096_shirtlong_punching_330,27.989102,0.951324,0.051162
00096_shirtshort_ATUsquat_30,29.516866,0.961429,0.040573
00096_shirtshort_ATUsquat_330,29.578535,0.961007,0.039401
00096_shortshort_soccer_30,27.360200,0.948700,0.050745
00096_shortshort_soccer_330,26.548772,0.939365,0.072799
00127_shortlong_ATUsquat_30,29.050524,0.956282,0.041557
00127_shortlong_ATUsquat_330,29.599893,0.959072,0.041387
00127_shortlong_ballerina_spin_30,28.133306,0.953724,0.040846
00127_shortlong_ballerina_spin_330,27.515801,0.946117,0.051760
00127_shortlong_bend_back_and_front_30,28.054121,0.950913,0.045085
00127_shortlong_bend_back_and_front_330,28.049400,0.950280,0.043486
00145_shortlong_hips_30,27.296915,0.952097,0.044279
00145_shortlong_hips_330,26.811319,0.941631,0.049251
00145_shortlong_punching_30,27.856838,0.954601,0.046016
00145_shortlong_punching_330,28.135296,0.955998,0.046360
00145_shortlong_simple_30,28.205553,0.954435,0.042870
00145_shortlong_simple_330,28.801760,0.956207,0.044023
00145_shortlong_twist_tilt_left_30,27.031982,0.945600,0.054834
00145_shortlong_twist_tilt_left_330,27.273150,0.947989,0.054763
00215_jerseyshort_flying_eagle_30,27.949807,0.951476,0.050527
00215_jerseyshort_flying_eagle_330,27.403835,0.946186,0.057173
00215_jerseyshort_hips_30,28.205900,0.954774,0.043730
00215_jerseyshort_hips_330,27.666219,0.952892,0.051444
00215_poloshort_bend_back_and_front_30,28.128270,0.953076,0.049151
00215_poloshort_bend_back_and_front_330,28.307619,0.952674,0.047622
00215_poloshort_soccer_30,27.882295,0.954846,0.042770
00215_poloshort_soccer_330,28.006580,0.951964,0.043056
00215_shortlong_tilt_twist_left_30,28.081142,0.953668,0.048779
00215_shortlong_tilt_twist_left_330,28.808740,0.958704,0.048149
03331_longshort_chicken_wings_30,29.114933,0.964413,0.032984
03331_longshort_chicken_wings_330,28.971864,0.964091,0.038038
03331_shortshort_punching_30,28.156592,0.955242,0.039166
03331_shortshort_punching_330,29.802652,0.966121,0.034806
03375_blazerlong_babysit_trial2_30,27.917605,0.952813,0.044626
03375_blazerlong_babysit_trial2_330,27.672099,0.948099,0.047344
03375_blazerlong_volleyball_trial1_30,26.864928,0.942625,0.053392
03375_blazerlong_volleyball_trial1_330,27.116592,0.942616,0.051196
03375_longlong_basketball_trial2_30,25.001442,0.934407,0.066272
